name,date,close,open,high,low,volume
HNXINDEX,03-02-2025,223.49,223.01,223.91,222.29,42894153
HNXINDEX,04-02-2025,226.61,223.29,226.61,219.7,60314916
HNXINDEX,05-02-2025,227.98,226,228.46,223.31,48123171
HNXINDEX,06-02-2025,229.13,226.5,229.62,225.61,44658191
HNXINDEX,07-02-2025,229.49,229.04,230.2,228.93,56531193
HNXINDEX,10-02-2025,227.97,229.51,229.6,227.94,61825883
HNXINDEX,11-02-2025,228.87,228,229.08,226.93,57319177
HNXINDEX,12-02-2025,229.32,228.06,229.81,226.12,46054114
HNXINDEX,13-02-2025,229.52,228.51,229.93,227.59,40155070
HNXINDEX,14-02-2025,231.22,228.7,232.91,228.7,68645862
HNXINDEX,17-02-2025,233.19,231.15,233.76,230.79,68313617
HNXINDEX,18-02-2025,235.84,232.99,236.07,232.78,72061555
HNXINDEX,19-02-2025,237.79,234.95,237.9,234.23,72681908
HNXINDEX,20-02-2025,238.02,236.84,239.3,236.84,62461991
HNXINDEX,21-02-2025,237.57,238.02,238.84,236.54,66960037
HNXINDEX,24-02-2025,238.49,235.97,238.54,235.76,60178906
HNXINDEX,25-02-2025,238.31,237,240.13,235.23,73602370
HNXINDEX,26-02-2025,238.6,238.19,239.59,237.89,64348696
HNXINDEX,27-02-2025,239.39,238.6,239.77,236.84,70202016
HNXINDEX,28-02-2025,239.19,239.39,240.56,238.42,62451416
HNXINDEX,03-03-2025,238.34,239.08,239.62,238.04,75406558
HNXINDEX,04-03-2025,237.35,238.34,238.39,235.44,58726078
HNXINDEX,05-03-2025,235.41,236.47,238.48,235.39,51788161
HNXINDEX,06-03-2025,238.01,235.28,238.01,234.87,73086785
HNXINDEX,07-03-2025,238.41,237.13,239.28,237.13,74756457
HNXINDEX,10-03-2025,239.5,238.41,240.81,238.32,56390955
HNXINDEX,11-03-2025,240.58,238.96,240.58,237.11,55591077
HNXINDEX,12-03-2025,241.87,240.69,242.46,240.47,69918512
HNXINDEX,13-03-2025,241.31,240.16,244.77,239.46,62047849
HNXINDEX,14-03-2025,242.73,240.8,244.22,239.44,72989796
HNXINDEX,17-03-2025,246.77,242.82,246.98,242.37,56581490
HNXINDEX,18-03-2025,247.03,246.77,250.38,246.66,47849311
HNXINDEX,19-03-2025,245.28,247.01,247.97,243.45,45128401
HNXINDEX,20-03-2025,245.77,245.24,247.17,244.14,66079290
HNXINDEX,21-03-2025,245.82,244.17,246.8,243.36,43406741
HNXINDEX,24-03-2025,246,245.82,246.49,243.79,50022148
HNXINDEX,25-03-2025,244.56,245.21,247.32,242.21,53141921
HNXINDEX,26-03-2025,241.33,244.29,245.3,240.66,53858208
HNXINDEX,27-03-2025,239.54,241.27,241.71,238.48,46037178
HNXINDEX,28-03-2025,238.2,239.4,240.45,237.14,54678974
HNXINDEX,31-03-2025,235.06,238.11,238.11,234.37,50668074
HNXINDEX,01-04-2025,236.42,235.01,236.5,233.2,46287808
HNXINDEX,02-04-2025,238.13,236.43,238.57,236.05,49264256
HNXINDEX,03-04-2025,220.95,237.59,237.59,219.13,145329341
HNXINDEX,04-04-2025,216.97,220.74,220.95,206.09,128716092
HNXINDEX,08-04-2025,201.04,216.97,216.97,200.4,84218834
HNXINDEX,09-04-2025,192.58,200.97,200.97,190.83,119324195
HNXINDEX,10-04-2025,208.32,192.45,208.46,191.98,51096910
HNXINDEX,11-04-2025,213.34,208.72,215.83,207.24,133912155
HNXINDEX,14-04-2025,215,212.5,215.87,212.43,87417697
HNXINDEX,15-04-2025,210.24,214.97,214.97,210.06,70911943
HNXINDEX,16-04-2025,209.41,209.36,211.46,208.48,53232590
HNXINDEX,17-04-2025,209.58,209.37,209.94,207.6,54480052
HNXINDEX,18-04-2025,213.1,209.58,214.79,208.53,92189777
HNXINDEX,21-04-2025,211.47,211.62,213.96,210.7,62526920
HNXINDEX,22-04-2025,207.71,211.05,211.3,199.79,119847863
HNXINDEX,23-04-2025,211.45,206.55,211.65,205.5,59850621
HNXINDEX,24-04-2025,211.07,211.14,213.32,210.34,60455583
HNXINDEX,25-04-2025,211.72,210.44,212.31,209.96,57203206
HNXINDEX,28-04-2025,211.45,211.72,212.64,210.91,41108810
HNXINDEX,29-04-2025,211.94,211.43,213.3,211.35,43826557
HNXINDEX,05-05-2025,212.81,211.94,213.48,210.9,40886879
HNXINDEX,05-05-2025,212.81,212.57,213.48,210.9,40886879
HNXINDEX,06-05-2025,212.89,212.81,214.46,212.49,65828167
HNXINDEX,06-05-2025,212.89,212.49,214.46,212.49,65828167
HNXINDEX,07-05-2025,213.41,212.89,213.51,211.71,59068186
HNXINDEX,07-05-2025,213.41,212.78,213.51,211.71,59068186
HNXINDEX,08-05-2025,215.21,213.41,215.31,213.41,62988420
HNXINDEX,08-05-2025,215.21,213.58,215.31,213.41,62988420
HNXINDEX,09-05-2025,214.13,215.21,216.03,213.03,59935602
HNXINDEX,09-05-2025,214.13,215.37,216.03,213.03,59935602
HNXINDEX,12-05-2025,216.04,214.13,216.04,213.99,56266307
HNXINDEX,12-05-2025,216.04,214.38,216.04,213.99,56266307
HNXINDEX,13-05-2025,217.93,217.19,219.33,216.04,73385993
HNXINDEX,14-05-2025,218.88,218.01,218.97,216.74,87908829
HNXINDEX,15-05-2025,219.28,219.4,219.99,217.16,79814101
HNXINDEX,16-05-2025,218.69,219.37,220.6,217.97,81087241
HNXINDEX,19-05-2025,217.24,218.62,218.69,216.8,61079209
HNXINDEX,20-05-2025,217.7,217.31,218.27,216.34,57083985
HNXINDEX,21-05-2025,217.46,217.87,218.53,215.98,68708217
HNXINDEX,22-05-2025,216.79,217.36,217.99,215.81,89134722
HNXINDEX,23-05-2025,216.32,216.77,217.58,215.82,57087506
HNXINDEX,26-05-2025,219.41,216.5,219.41,214.68,79527098
HNXINDEX,27-05-2025,221.79,219.72,222.23,219.41,122736091
HNXINDEX,28-05-2025,223.56,222.34,224.76,221.79,93042312
HNXINDEX,29-05-2025,224.3,225.18,225.6,223.3,81256635
HNXINDEX,30-05-2025,223.22,224.56,225.29,222.06,99075838
HNXINDEX,02-06-2025,226.17,223.11,226.17,222.21,95689784
HNXINDEX,03-06-2025,228.94,226.8,229.73,226.17,140331112
HNXINDEX,04-06-2025,230.83,229.39,231.26,228.94,92186108
HNXINDEX,05-06-2025,231.19,231.29,232.12,229.79,107181961
HNXINDEX,06-06-2025,228.61,231.06,231.46,228.28,115042965
HNXINDEX,09-06-2025,226.49,228.81,229.18,225.56,86097804
HNXINDEX,10-06-2025,226.4,226.35,227.64,225.74,69387061
HNXINDEX,11-06-2025,226.23,226.41,227.05,224.69,66328112
HNXINDEX,12-06-2025,227.73,226.57,228,226.23,74338361
HNXINDEX,13-06-2025,224.82,227.63,227.73,223.12,159631054
HNXINDEX,16-06-2025,228.12,224.82,228.25,224.82,68082425
HNXINDEX,17-06-2025,228.24,227.69,229.45,227.3,82340363
HNXINDEX,18-06-2025,228.2,228.79,229.48,226.83,70629821
HNXINDEX,19-06-2025,227.56,228.15,228.52,226.61,77609564
HNXINDEX,20-06-2025,227.07,228.1,228.75,226.32,70397624
HNXINDEX,23-06-2025,227.42,226.91,227.42,225.83,88336937
HNXINDEX,24-06-2025,227.79,227.14,228.5,227.14,102568919
HNXINDEX,25-06-2025,227.66,227.88,228.74,227.04,69456454
HNXINDEX,26-06-2025,227.7,227.86,228.16,226.72,62927183
HNXINDEX,27-06-2025,227.81,228.22,229.21,226.85,65386789
HNXINDEX,30-06-2025,229.22,228.02,229.22,227.75,65386544
HNXINDEX,01-07-2025,228.45,229.04,229.65,227.68,79041537
HNXINDEX,02-07-2025,231.62,228.03,231.62,228.03,100986960
HNXINDEX,03-07-2025,230.93,231.71,232.83,229.83,134784426
HNXINDEX,04-07-2025,232.51,231,232.91,230.91,89613886
HNXINDEX,07-07-2025,235.9,232.89,235.9,232.51,122256742
HNXINDEX,08-07-2025,237.68,236.94,238.4,235.87,104504949
HNXINDEX,09-07-2025,238.63,237.66,239.88,237.62,159004583
HNXINDEX,10-07-2025,238.44,239.01,240.04,237.77,109222028
HNXINDEX,11-07-2025,238.81,238.86,240.05,237.96,140553858
HNXINDEX,14-07-2025,239.61,239.36,239.99,236.9,136216630
HNXINDEX,15-07-2025,240.33,240.37,242.57,239.61,162009943
HNXINDEX,16-07-2025,242.35,240.46,242.35,239.78,156660565
HNXINDEX,17-07-2025,246.09,242.66,247.72,242.35,192886760
HNXINDEX,18-07-2025,247.77,247.39,250.54,246.09,178101450
HNXINDEX,21-07-2025,245.79,248.36,250.15,244.99,151869899
HNXINDEX,22-07-2025,247.85,245.73,247.85,244.61,146786217
HNXINDEX,23-07-2025,249.33,248.55,251.3,247.85,153976155
HNXINDEX,24-07-2025,250.67,249.89,251.53,248.4,136619447
HNXINDEX,25-07-2025,254.56,252.42,254.56,250.67,163828788
HNXINDEX,28-07-2025,263.79,255.55,263.79,254.56,194384356
HNXINDEX,29-07-2025,255.36,266.16,269.64,254.15,315587619
HNXINDEX,30-07-2025,261.51,255.87,261.51,255.36,178616004
HNXINDEX,31-07-2025,266.34,263.92,266.52,260.17,195617128
HNXINDEX,01-08-2025,264.93,267.64,268.02,262.88,187392908
HNXINDEX,04-08-2025,268.34,264.05,268.35,262.88,160854348
HNXINDEX,05-08-2025,266.12,269.46,272.87,261.04,258325850
HNXINDEX,06-08-2025,268.66,266.27,268.66,266.12,131160620
HNXINDEX,07-08-2025,270.86,270.22,271.73,268.65,131637529
HNXINDEX,08-08-2025,272.46,271.39,273.23,268.14,218192037
HNXINDEX,11-08-2025,276.46,273.23,276.6,272.46,164030083
HNXINDEX,12-08-2025,276.47,275.86,277.17,272.91,141348702
HNXINDEX,13-08-2025,279.69,277.21,279.69,273.95,226198091
HNXINDEX,14-08-2025,285.15,281.09,285.15,279.69,181510905
