name,date,close,open,high,low,volume
HNX30,03-02-2025,464.1,462.78,466.19,460.37,28285723
HNX30,04-02-2025,473.48,463.19,473.8,447.81,41021544
HNX30,05-02-2025,476.81,470.73,479.41,458.66,32020976
HNX30,06-02-2025,476.34,470.14,480.45,466.17,25355319
HNX30,07-02-2025,475.88,476.04,479.13,474.58,32584571
HNX30,10-02-2025,469.89,474.66,475.92,469.81,34981417
HNX30,11-02-2025,471.84,468.97,472.13,465.68,22689084
HNX30,12-02-2025,471.73,468.17,474.44,459.44,21117231
HNX30,13-02-2025,471.89,468.07,473.17,463.96,19686799
HNX30,14-02-2025,479.18,468.22,482.28,468.22,41727973
HNX30,17-02-2025,484.56,478.88,487.71,477.25,41098069
HNX30,18-02-2025,492.67,483.65,496.27,482.72,47010274
HNX30,19-02-2025,498.85,488.63,499.4,485.99,44909796
HNX30,20-02-2025,499.31,494.58,504.21,494.58,35246563
HNX30,21-02-2025,498.11,498.7,502.43,495.2,32631475
HNX30,24-02-2025,502.33,490.92,502.49,489.96,34181409
HNX30,25-02-2025,502.33,495.65,507.29,487.65,45381419
HNX30,26-02-2025,503.04,501.81,507.03,500.31,37357073
HNX30,27-02-2025,504.82,503.55,505.86,496.79,38220566
HNX30,28-02-2025,503.71,503.59,509.17,501.71,35871256
HNX30,03-03-2025,500.9,503.2,504.71,500.04,52649647
HNX30,04-03-2025,498.62,499.38,503.09,494.37,33023792
HNX30,05-03-2025,492.66,494.65,502.03,491.15,30015863
HNX30,06-03-2025,500.27,492.04,500.27,490.25,49496384
HNX30,07-03-2025,502.01,496.3,505.57,496.3,47467307
HNX30,10-03-2025,502.04,502.06,506.56,500.27,34565109
HNX30,11-03-2025,503.98,500.09,503.98,492.9,37140634
HNX30,12-03-2025,504.13,503.98,506.25,500.96,47778907
HNX30,13-03-2025,496.38,496.43,505.48,493.28,39332013
HNX30,14-03-2025,495.07,494.1,499.83,487.46,46456864
HNX30,17-03-2025,500.53,495.68,500.8,493.12,35374793
HNX30,18-03-2025,498.44,499.61,504.48,498.35,29758966
HNX30,19-03-2025,495.91,497.52,499.04,487.84,26319435
HNX30,20-03-2025,501.72,495.75,503.9,494.49,39628998
HNX30,21-03-2025,500.98,494.53,505.76,490.87,21155473
HNX30,24-03-2025,500.03,500.81,502.7,494.76,29583132
HNX30,25-03-2025,499.63,496.47,503.13,482.58,28519978
HNX30,26-03-2025,493.63,498.41,501.78,491.8,31159583
HNX30,27-03-2025,491.91,492.72,495.66,491.18,26395808
HNX30,28-03-2025,488.52,491.28,493.82,485.78,31265346
HNX30,31-03-2025,482.74,488.14,488.95,482.41,31813434
HNX30,01-04-2025,487.9,482.5,487.9,474.36,26468118
HNX30,02-04-2025,486.81,487.42,490.97,486.19,25115566
HNX30,03-04-2025,443.43,484.36,484.36,441.34,90826389
HNX30,04-04-2025,432.55,442.47,443.43,406.71,80850935
HNX30,08-04-2025,392.24,431.6,431.6,391.36,55731057
HNX30,09-04-2025,368.63,391.9,391.9,361.11,85859385
HNX30,10-04-2025,403.75,368.04,403.88,366.48,16109657
HNX30,11-04-2025,417.57,405.57,430.45,400.55,95288377
