name,date,close,open,high,low,volume
UPCOMINDEX,03-02-2025,94.51,94.3,94.82,94.05,41433587
UPCOMINDEX,04-02-2025,95.31,94.51,95.32,94.51,48913398
UPCOMINDEX,05-02-2025,95.9,95.31,95.9,95.12,40305915
UPCOMINDEX,06-02-2025,96.74,95.9,96.75,95.86,53521087
UPCOMINDEX,07-02-2025,97.24,96.74,97.37,96.74,69561469
UPCOMINDEX,10-02-2025,96.63,97.27,97.4,96.47,62070868
UPCOMINDEX,11-02-2025,96.75,96.63,96.98,96.45,56877963
UPCOMINDEX,12-02-2025,96.8,96.75,97.05,96.66,50950787
UPCOMINDEX,13-02-2025,97.74,96.8,97.78,96.78,58654499
UPCOMINDEX,14-02-2025,98.35,97.74,98.77,97.59,91057980
UPCOMINDEX,17-02-2025,99.39,98.35,99.45,98.35,91094545
UPCOMINDEX,18-02-2025,99.51,99.39,100.12,99.15,80264146
UPCOMINDEX,19-02-2025,99.34,99.52,100.02,99.01,72186018
UPCOMINDEX,20-02-2025,100.08,99.34,100.1,99.34,81271269
UPCOMINDEX,21-02-2025,100.61,100.08,100.66,100,73575403
UPCOMINDEX,24-02-2025,100.21,100.61,101.18,99.82,68489015
UPCOMINDEX,25-02-2025,99.97,100.2,100.69,99.54,74024641
UPCOMINDEX,26-02-2025,99.73,99.97,100.41,99.59,62431502
UPCOMINDEX,27-02-2025,99.81,99.73,100.29,99.27,62766460
UPCOMINDEX,28-02-2025,99.58,99.81,100.01,99.32,66696793
UPCOMINDEX,03-03-2025,99.46,99.58,99.68,99.14,52766898
UPCOMINDEX,04-03-2025,99.1,99.46,99.54,98.62,57773842
UPCOMINDEX,05-03-2025,98.69,99.1,99.56,98.38,59471478
UPCOMINDEX,06-03-2025,99.35,98.7,99.35,98.68,51349550
UPCOMINDEX,07-03-2025,99.08,99.34,99.53,98.83,67913190
UPCOMINDEX,10-03-2025,99.16,99.08,99.68,98.99,61941674
UPCOMINDEX,11-03-2025,99.4,99.16,99.4,98.45,48887668
UPCOMINDEX,12-03-2025,99.32,99.4,100.11,99.04,51517319
UPCOMINDEX,13-03-2025,99.02,99.32,99.93,98.76,55186968
UPCOMINDEX,14-03-2025,99.38,99.02,99.72,98.93,59589396
UPCOMINDEX,17-03-2025,100.43,99.38,100.98,99.35,46334833
UPCOMINDEX,18-03-2025,100.29,100.76,101.75,99.99,59120268
UPCOMINDEX,19-03-2025,99.36,100.68,100.72,99.09,42891335
UPCOMINDEX,20-03-2025,99.16,99.36,99.81,98.31,41826817
UPCOMINDEX,21-03-2025,99.32,99.16,99.45,98.93,50168755
UPCOMINDEX,24-03-2025,99.18,99.35,99.42,98.78,38433353
UPCOMINDEX,25-03-2025,99.17,99.18,99.46,98.62,40908405
UPCOMINDEX,26-03-2025,98.85,99.16,99.28,98.55,30503653
UPCOMINDEX,27-03-2025,98.96,98.85,99.03,98.13,26150373
UPCOMINDEX,28-03-2025,98.62,98.99,99.2,98.35,42843678
UPCOMINDEX,31-03-2025,98.05,98.62,98.7,97.19,40219289
UPCOMINDEX,01-04-2025,98.47,98.05,98.49,97.91,31890425
UPCOMINDEX,02-04-2025,98.64,98.47,98.96,98.4,37296794
UPCOMINDEX,03-04-2025,90.58,98.5,98.5,89.59,134951655
UPCOMINDEX,04-04-2025,91.13,90.58,91.13,87.07,94321137
UPCOMINDEX,08-04-2025,84.5,91.13,91.14,84.11,83235105
UPCOMINDEX,09-04-2025,84.41,84.42,85.35,82.73,68492373
UPCOMINDEX,10-04-2025,92.84,84.72,92.93,84.72,38678362
UPCOMINDEX,11-04-2025,93.25,92.84,94.43,91.68,93635657
UPCOMINDEX,14-04-2025,91.76,93.25,93.34,91.31,38426451
UPCOMINDEX,15-04-2025,91.03,91.76,92.38,90.52,43021683
UPCOMINDEX,16-04-2025,90.39,91.04,91.42,90.19,32533231
UPCOMINDEX,17-04-2025,90.53,90.39,90.57,89.93,26857152
UPCOMINDEX,18-04-2025,91.3,90.53,91.76,90.3,49272746
UPCOMINDEX,21-04-2025,90.9,91.32,91.81,90.73,29571311
UPCOMINDEX,22-04-2025,89.67,90.91,91.15,87.16,68216632
UPCOMINDEX,23-04-2025,91.46,89.71,91.47,89.71,37556775
UPCOMINDEX,24-04-2025,91.83,91.46,92.09,91.05,40625668
UPCOMINDEX,25-04-2025,92.27,91.83,92.29,91.53,72006334
UPCOMINDEX,28-04-2025,92.25,92.27,92.74,91.88,42002679
UPCOMINDEX,29-04-2025,92.42,92.25,92.61,91.98,35157245
UPCOMINDEX,05-05-2025,92.38,92.42,92.97,92.21,0
UPCOMINDEX,06-05-2025,92.94,92.59,93.23,92.38,43855956
UPCOMINDEX,07-05-2025,92.92,92.87,93.23,92.74,31228657
UPCOMINDEX,08-05-2025,92.98,93.03,93.41,92.78,38643932
UPCOMINDEX,09-05-2025,93.4,93.15,93.77,92.98,45432133
UPCOMINDEX,12-05-2025,93.59,93.49,94.29,93.4,39256990
UPCOMINDEX,13-05-2025,94.55,93.84,94.82,93.59,45007570
UPCOMINDEX,14-05-2025,94.89,94.67,95.28,94.55,46434584
UPCOMINDEX,15-05-2025,95.54,95.24,95.8,95.15,57365586
UPCOMINDEX,16-05-2025,95.5,95.82,96.06,95.14,71859586
UPCOMINDEX,19-05-2025,95.71,95.53,96.01,95.28,50496629
UPCOMINDEX,20-05-2025,95.69,95.62,96.22,95.4,43039748
UPCOMINDEX,21-05-2025,95.83,95.74,96.3,95.42,53130738
UPCOMINDEX,22-05-2025,96.14,95.89,96.46,95.81,43554977
UPCOMINDEX,23-05-2025,96.22,96.16,96.62,95.95,47586416
UPCOMINDEX,26-05-2025,96.73,96.26,97.84,95.71,63655503
UPCOMINDEX,27-05-2025,98.14,97.14,98.37,96.73,71939074
UPCOMINDEX,28-05-2025,98.59,98.31,99.28,98.14,76325876
