Ticker,MARKETCAP,NMVOLUME_AVG_CR_10D,PRICE_HIGHEST_CR_52W,PRICE_LOWEST_CR_52W,OUTSTANDING_SHARES,FREEFLOAT,BETA,PRICE_TO_EARNINGS,PRICE_TO_BOOK,DIVIDEND_YIELD,BVPS_CR
A32,203320000000.0,212.3,38453.0,29900.0,6800000.0,0.3794375,-0.045452599890748326,3.9966733835733494,0.8811308602027473,0.06967316053511706,33933.66564544118
AAA,2831010228700.0,1311238.8,8850.0,6690.0,393742730.0,0.5128884436799633,0.6594388993369308,5.88150840575435,0.5042598450273732,0.040502603465566916,14258.521813510055
AAH,354407400000.0,394250.6,4700.0,3000.0,117900000.0,0.6426174724342664,0.37995535306990996,1356.8722943278253,0.2968426889824526,0.0,10126.575831475828
AAM,73262785820.0,14463.5,7490.0,6060.0,10451182.0,0.1931720886336928,0.17646235693574797,24.21233938358488,0.36983330851606244,0.0,18954.485273723105
AAS,1950855937122.0,408154.2,24100.0,7600.0,229999521.0,0.9753169312035219,1.2892842338141655,14.012202358690123,0.733062230828568,0.0,11570.641131535225
AAT,203959016640.0,27573.0,3950.0,2880.0,70819103.0,0.8315497726651522,0.4144006655762562,13.91287774294675,0.2807640896749958,0.0,10257.722073124818
AAV,476014860900.0,687322.8,9200.0,5400.0,68987661.0,0.7081662617899163,0.7587006949698931,16.367465236042513,0.6725654513062059,0.0,10259.224565578474
ABB,21247353050661.0,699522.4,15500.0,6748.0,1397208723.0,0.8753722066477536,0.7081016461777803,7.565034664872076,1.1868199017269458,0.0,12813.233059095352
ABC,218182689000.0,14676.5,15300.0,9600.0,20389000.0,0.9862320404060216,0.37489377128919227,2.164763715042364,0.3653369846206192,0.00037656516370095707,29290.765650546862
ABI,1967360232384.0,28645.0,22128.0,18900.0,101347632.0,0.8527072640434263,0.39556509795301925,7.333189595585636,1.0631454123700108,0.0,18259.02625749559
ABR,260000000000.0,870.1,16400.0,10785.0,20000000.0,0.512515,0.5277727686688974,19.124855643005912,1.1151716606559237,0.3076923076923077,11657.3981017
ABS,226400000000.0,161032.3,4170.0,2570.0,80000000.0,0.998463475,0.5645176738704756,111.0295325544295,0.5656767882395279,0.0,5002.8568589625
ABT,674836826100.0,4911.6,70530.0,41516.0,11777257.0,0.5251899135113577,0.4121026583762409,4.268264230882423,1.0610475478120605,0.05176357283564078,54003.23493339748
ABW,1083013050000.0,130213.3,13300.0,7300.0,101150000.0,0.536017380128522,0.9329027892192808,6.421104115403825,0.6709236370883825,0.0,15958.59708634701
ACB,117372603287150.0,15270385.5,29450.0,20177.0,5136656599.0,0.883325215254476,0.7955905174754044,7.215460432444053,1.1885706623879815,0.03805537131243822,19224.772008162814
ACC,1333499911100.0,10030.0,14400.0,12300.0,104999993.0,0.41602329440155295,-0.012723351914553345,27.302575622638717,0.9638048377336144,1.0798650888638968e-06,13176.941537110388
ACE,110895889350.0,1441.2,44261.0,34599.0,3050781.0,0.4205421496987165,-0.10387903672789833,6.454452932583444,1.5689955183902502,0.09625795475889747,23167.6888645891
ACG,5202184137000.0,9697.3,37500.0,33000.0,150787946.0,0.0822509074517698,0.2230986400212373,9.799118931675416,1.1999930287318323,0.05797235412238158,28750.167020936806
ACL,629495688450.0,5412.9,14895.0,9435.0,50159019.0,0.27132412617559365,0.20121660769182392,17.89107577535616,0.7732576842017101,0.04792282638866103,16230.035932919662
ACM,25551000000.0,71527.6,800.0,500.0,51000000.0,0.9875490196078431,0.04649346724089605,,0.07910413897224014,0.0,6333.42333927451
ACS,17280000000.0,35.6,7300.0,3200.0,5400000.0,0.5976418518518518,-0.341517859197199,98.76198728999925,0.5051248068339443,0.0,13462.019500925926
