name,close,volume,time_point,date
VNINDEX,1928.18,8307003,09:15:00,2026-05-15
VNINDEX,1926.85,2941183,09:16:00,2026-05-15
VNINDEX,1925.94,3014831,09:17:00,2026-05-15
VNINDEX,1926.8,2909804,09:18:00,2026-05-15
VNINDEX,1925.91,2403983,09:19:00,2026-05-15
VNINDEX,1928.52,1963724,09:20:00,2026-05-15
VNINDEX,1930.21,2566166,09:21:00,2026-05-15
VNINDEX,1929.02,2688438,09:22:00,2026-05-15
VNINDEX,1929.32,2164271,09:23:00,2026-05-15
VNINDEX,1929.78,2176979,09:24:00,2026-05-15
VNINDEX,1929.76,2401760,09:25:00,2026-05-15
VNINDEX,1929.13,1695485,09:26:00,2026-05-15
VNINDEX,1928.84,1683225,09:27:00,2026-05-15
VNINDEX,1926.62,2353708,09:28:00,2026-05-15
VNINDEX,1926.65,2909113,09:29:00,2026-05-15
VNINDEX,1926.89,2353489,09:30:00,2026-05-15
VNINDEX,1926.7,2156452,09:31:00,2026-05-15
VNINDEX,1926.38,1909308,09:32:00,2026-05-15
VNINDEX,1926.09,3265868,09:33:00,2026-05-15
VNINDEX,1924.27,1910115,09:34:00,2026-05-15
VNINDEX,1922.31,2108688,09:35:00,2026-05-15
VNINDEX,1920.96,1952251,09:36:00,2026-05-15
VNINDEX,1922.35,1736793,09:37:00,2026-05-15
VNINDEX,1923.49,2028287,09:38:00,2026-05-15
VNINDEX,1922.73,1483350,09:39:00,2026-05-15
VNINDEX,1922.84,1511227,09:40:00,2026-05-15
VNINDEX,1922.08,2872891,09:41:00,2026-05-15
VNINDEX,1920.48,2603250,09:42:00,2026-05-15
VNINDEX,1919.44,3730498,09:43:00,2026-05-15
VNINDEX,1918.07,2153392,09:44:00,2026-05-15
VNINDEX,1917.69,2768956,09:45:00,2026-05-15
VNINDEX,1917.62,2803457,09:46:00,2026-05-15
VNINDEX,1917.54,3054596,09:47:00,2026-05-15
VNINDEX,1918.02,3400576,09:48:00,2026-05-15
VNINDEX,1918.19,4665456,09:49:00,2026-05-15
VNINDEX,1918.03,3847115,09:50:00,2026-05-15
VNINDEX,1917.86,3060736,09:51:00,2026-05-15
VNINDEX,1918.02,3319011,09:52:00,2026-05-15
VNINDEX,1917.49,4011640,09:53:00,2026-05-15
VNINDEX,1916.46,4459916,09:54:00,2026-05-15
VNINDEX,1916.18,2221215,09:55:00,2026-05-15
VNINDEX,1916.23,2312774,09:56:00,2026-05-15
VNINDEX,1915.79,1493328,09:57:00,2026-05-15
VNINDEX,1915.51,2327843,09:58:00,2026-05-15
VNINDEX,1915.87,2508759,09:59:00,2026-05-15
VNINDEX,1916.11,2253898,10:00:00,2026-05-15
VNINDEX,1916.58,2403064,10:01:00,2026-05-15
VNINDEX,1916.69,2361280,10:02:00,2026-05-15
VNINDEX,1918.36,1437725,10:03:00,2026-05-15
VNINDEX,1918.27,1851422,10:04:00,2026-05-15
VNINDEX,1917.8,3131242,10:05:00,2026-05-15
VNINDEX,1918.5,2190103,10:06:00,2026-05-15
VNINDEX,1919.46,1887851,10:07:00,2026-05-15
VNINDEX,1918.82,1395566,10:08:00,2026-05-15
VNINDEX,1917.54,4618769,10:09:00,2026-05-15
VNINDEX,1916.79,2828230,10:10:00,2026-05-15
VNINDEX,1915.52,6528599,10:11:00,2026-05-15
VNINDEX,1914.59,4688300,10:12:00,2026-05-15
VNINDEX,1916.52,2714196,10:13:00,2026-05-15
VNINDEX,1917.63,1625106,10:14:00,2026-05-15
